Name,zcr,flt,lds,alds,strpk,nrg,cntr,flu,rof,entr,danc,bpm,tufre,ptch,tmpo,edmk,edm,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,gen
Compact - Jocul Ielelor (Cine Goneste Prin Noapte Ca Vantul)-dPcEC-bKb0A-recortado.wav,0.023563385009765625,0.23999571800231934,-12.333971977233887,0.9665863513946533,0.8125280141830444,0.03513471782207489,625.6240234375,0.08177642524242401,561.3768310546875,6.695443630218506,1.3574910163879395,142.32496643066406,448.7266540527344,0.5491227507591248,156.25,G,major,-702.0764,213.80006,-19.00357,42.972946,0.6920714,Rock
CONEXIUNI - Tot ce-as vrea sa-ti spun-s11MkPg8ZEs-recortado.wav,0.0418267697095871,0.205526202917099,-17.030284881591797,0.9237254858016968,1.0580703020095825,0.02927999384701252,1144.1353759765625,0.07462503015995026,1013.6508178710938,7.170874118804932,1.1198046207427979,124.32604217529297,432.69091796875,0.5226725935935974,133.92857142857142,C#,major,-653.76385,158.1937,-20.378239,48.129612,-5.518227,Rock
Conexiuni - Tu-siFEwXBoZb4-recortado.wav,0.03129230812191963,0.22493281960487366,-15.561910629272461,0.8831087946891785,0.5279941558837891,0.03218841925263405,881.95703125,0.058800194412469864,623.0404052734375,6.884581089019775,0.9392524361610413,116.70520782470703,434.193115234375,0.4989174008369446,127.8409090909091,E,major,-699.9002,153.71536,23.000849,55.63284,3.7808564,Rock
Conexiuni-Viata de rocker-0CdgU2L3YK0-recortado.wav,0.12477388978004456,0.15893958508968353,-11.318445205688477,0.9821643233299255,0.971482515335083,0.01879187673330307,3142.16650390625,0.08288396149873734,4107.11865234375,7.757068157196045,1.3798383474349976,97.58305358886719,456.57025146484375,0.6179947257041931,108.17307692307692,G,minor,-608.3437,64.58532,-23.894875,71.745255,-4.65113,Rock
Cover EL CANTANTE; Héctor Lavoe _ Inspirado en Versión FrijolTV _ Bajo Techo feat Gerald Black-nNk3nXZJIOI-recortado.wav,0.05188751220703125,0.16546456515789032,-12.995697975158691,0.9791228175163269,0.7034173011779785,0.04266234487295151,1264.2860107421875,0.10816565155982971,1102.6114501953125,7.385913372039795,1.7824751138687134,92.42215728759766,434.193115234375,0.5281665325164795,100.44642857142857,F#,minor,-632.42255,123.85398,12.541396,28.91742,9.799161,Rock
Cover ERES PARA MI; Julieta Venegas _ Bajo Techo feat Gerald Black-mXlmc4QrkxY-recortado.wav,0.05352367088198662,0.17883358895778656,-15.096369743347168,0.9267548322677612,0.7259106636047363,0.035343434661626816,1317.6593017578125,0.09573047608137131,1294.5938720703125,7.262698173522949,1.5930322408676147,91.7408676147461,434.193115234375,0.49581366777420044,98.6842105263158,Eb,minor,-683.77435,127.08952,10.330468,27.695112,18.643831,Rock
Cover WHAT´S UP; 4 Non Blondes _ Bajo Techo-l35oNFb7Luk-recortado.wav,0.04760117828845978,0.17566320300102234,-15.342500686645508,0.8580154776573181,1.1245914697647095,0.024053866043686867,1179.318115234375,0.0624067522585392,1187.3536376953125,7.054387092590332,1.3734673261642456,125.55644989013672,434.193115234375,0.5032673478126526,137.1951219512195,C#,major,-683.5459,153.40144,-12.407901,13.11151,24.843178,Rock
Creedence Clearwater Revival - Born On The Bayou-wIjUY3pjN8E-recortado.wav,0.04043475165963173,0.18766051530838013,-17.999706268310547,0.9734441041946411,0.41124579310417175,0.03678514435887337,1566.01416015625,0.07783563435077667,746.4429931640625,7.6598734855651855,1.3130840063095093,108.62909698486328,446.3999328613281,0.498090535402298,117.1875,D,major,-626.08014,120.96872,-1.0004927,55.586205,7.3296375,Rock
Creedence Clearwater Revival - Have You Ever Seen The Rain-Gu2pVPWGYMQ-recortado.wav,0.0928424522280693,0.14629976451396942,-12.133373260498047,0.9433879852294922,1.230384349822998,0.021107139065861702,1632.28955078125,0.07064200192689896,2347.853759765625,7.777765274047852,1.1579978466033936,106.22315216064453,451.0654602050781,0.5726615786552429,114.79591836734694,Bb,major,-620.4981,83.61843,15.989518,20.08433,9.015087,Rock
Creedence Clearwater Revival - I Heard It Through The Grapevine-NXJQOWsp6f4-recortado.wav,0.04036712646484375,0.2247728407382965,-11.593645095825195,0.916186511516571,0.8903712630271912,0.024906767532229424,953.43359375,0.0835270956158638,975.9986572265625,7.010105609893799,1.2504310607910156,108.17611694335938,448.9859313964844,0.5462895631790161,119.68085106382979,C,minor,-696.13354,155.83691,6.644502,23.442822,7.3234925,Rock
